"","oracle_acc","edge_prob","hc_lower_shd_mean","hc_upper_shd_mean","hc_lower_sid_mean","hc_upper_sid_mean","hc_lower_shd_sd","hc_upper_shd_sd","hc_lower_sid_sd","hc_upper_sid_sd","pc_lower_shd_mean","pc_upper_shd_mean","pc_lower_sid_mean","pc_upper_sid_mean","pc_lower_shd_sd","pc_upper_shd_sd","pc_lower_sid_sd","pc_upper_sid_sd","ges_lower_shd_mean","ges_upper_shd_mean","ges_lower_sid_mean","ges_upper_sid_mean","ges_lower_shd_sd","ges_upper_shd_sd","ges_lower_sid_sd","ges_upper_sid_sd","human_shd_mean","human_sid_mean","human_shd_sd","human_sid_sd"
"1",0.1,0.1,5.3,5.3,7.93333333333333,7.93333333333333,0.365620241397464,0.365620241397464,0.956446167868663,0.956446167868663,7.8,7.8,7.83333333333333,8.13333333333333,0.512824049501509,0.512824049501509,1.13672582176606,1.16138376970595,34.9333333333333,34.9333333333333,5.3,5.3,1.98152385340404,1.98152385340404,5.77837824760666,5.77837824760666,4.73333333333333,8.1,0.395181708047676,1.08421272884029
"2",0.3,0.1,5.3,5.3,7.93333333333333,7.93333333333333,0.365620241397464,0.365620241397464,0.956446167868663,0.956446167868663,7.8,7.8,7.83333333333333,8.13333333333333,0.512824049501509,0.512824049501509,1.13672582176606,1.16138376970595,34.9333333333333,34.9333333333333,5.3,5.3,1.98152385340404,1.98152385340404,5.77837824760666,5.77837824760666,3.8,8,0.304751641863323,1.22989579971676
"3",0.5,0.1,5.3,5.3,7.93333333333333,7.93333333333333,0.365620241397464,0.365620241397464,0.956446167868663,0.956446167868663,7.8,7.8,7.83333333333333,8.13333333333333,0.512824049501509,0.512824049501509,1.13672582176606,1.16138376970595,34.9333333333333,34.9333333333333,5.3,5.3,1.98152385340404,1.98152385340404,5.77837824760666,5.77837824760666,3.1,5.53333333333333,0.2641403319119,0.970523420022547
"4",0.7,0.1,5.3,5.3,7.93333333333333,7.93333333333333,0.365620241397464,0.365620241397464,0.956446167868663,0.956446167868663,7.8,7.8,7.83333333333333,8.13333333333333,0.512824049501509,0.512824049501509,1.13672582176606,1.16138376970595,34.9333333333333,34.9333333333333,5.3,5.3,1.98152385340404,1.98152385340404,5.77837824760666,5.77837824760666,2.23333333333333,4.4,0.294326948291218,0.766541718953738
"5",0.9,0.1,5.3,5.3,7.93333333333333,7.93333333333333,0.365620241397464,0.365620241397464,0.956446167868663,0.956446167868663,7.8,7.8,7.83333333333333,8.13333333333333,0.512824049501509,0.512824049501509,1.13672582176606,1.16138376970595,34.9333333333333,34.9333333333333,5.3,5.3,1.98152385340404,1.98152385340404,5.77837824760666,5.77837824760666,1.16666666666667,2.16666666666667,0.20945102482625,0.489154403692066
"6",0.1,0.2,11.1666666666667,11.1666666666667,30.6666666666667,30.6666666666667,0.606636351396163,0.606636351396163,3.11552778995176,3.11552778995176,13.2,13.2,22,22.6,0.589954216029934,0.589954216029934,2.02796540359073,2.0831011364856,33.5333333333333,33.5333333333333,16.9,16.9,3.54997166898198,3.54997166898198,13.230972023614,13.230972023614,7.53333333333333,25.5333333333333,0.414488559894631,2.50229013879233
"7",0.3,0.2,11.1666666666667,11.1666666666667,30.6666666666667,30.6666666666667,0.606636351396163,0.606636351396163,3.11552778995176,3.11552778995176,13.2,13.2,22,22.6,0.589954216029934,0.589954216029934,2.02796540359073,2.0831011364856,33.5333333333333,33.5333333333333,16.9,16.9,3.54997166898198,3.54997166898198,13.230972023614,13.230972023614,6,20.4,0.365148371670111,2.33149352754099
"8",0.5,0.2,11.1666666666667,11.1666666666667,30.6666666666667,30.6666666666667,0.606636351396163,0.606636351396163,3.11552778995176,3.11552778995176,13.2,13.2,22,22.6,0.589954216029934,0.589954216029934,2.02796540359073,2.0831011364856,33.5333333333333,33.5333333333333,16.9,16.9,3.54997166898198,3.54997166898198,13.230972023614,13.230972023614,5.5,18.9,0.361192151236627,2.05182845286832
"9",0.7,0.2,11.1666666666667,11.1666666666667,30.6666666666667,30.6666666666667,0.606636351396163,0.606636351396163,3.11552778995176,3.11552778995176,13.2,13.2,22,22.6,0.589954216029934,0.589954216029934,2.02796540359073,2.0831011364856,33.5333333333333,33.5333333333333,16.9,16.9,3.54997166898198,3.54997166898198,13.230972023614,13.230972023614,4.1,14.2,0.31930240053671,1.86029289499595
"10",0.9,0.2,11.1666666666667,11.1666666666667,30.6666666666667,30.6666666666667,0.606636351396163,0.606636351396163,3.11552778995176,3.11552778995176,13.2,13.2,22,22.6,0.589954216029934,0.589954216029934,2.02796540359073,2.0831011364856,33.5333333333333,33.5333333333333,16.9,16.9,3.54997166898198,3.54997166898198,13.230972023614,13.230972023614,2.7,11.6,0.254386799339433,1.64742920591622
"11",0.1,0.3,14.3,14.3,43.7333333333333,43.7333333333333,0.690077456921847,0.690077456921847,2.97612466265492,2.97612466265492,19.7666666666667,19.7666666666667,46.9,47.6,0.679220874361634,0.679220874361634,2.77855085027901,2.5791382326251,32.7333333333333,32.7333333333333,35.6333333333333,35.6333333333333,2.9819379643092,2.9819379643092,14.9585250363921,14.9585250363921,11.2333333333333,45.1333333333333,0.611542863852978,3.30507562760893
"12",0.3,0.3,14.3,14.3,43.7333333333333,43.7333333333333,0.690077456921847,0.690077456921847,2.97612466265492,2.97612466265492,19.7666666666667,19.7666666666667,46.9,47.6,0.679220874361634,0.679220874361634,2.77855085027901,2.5791382326251,32.7333333333333,32.7333333333333,35.6333333333333,35.6333333333333,2.9819379643092,2.9819379643092,14.9585250363921,14.9585250363921,8.5,34,0.408951561080704,2.75388962124066
"13",0.5,0.3,14.3,14.3,43.7333333333333,43.7333333333333,0.690077456921847,0.690077456921847,2.97612466265492,2.97612466265492,19.7666666666667,19.7666666666667,46.9,47.6,0.679220874361634,0.679220874361634,2.77855085027901,2.5791382326251,32.7333333333333,32.7333333333333,35.6333333333333,35.6333333333333,2.9819379643092,2.9819379643092,14.9585250363921,14.9585250363921,7.2,33.4666666666667,0.424534904404186,2.56579325339301
"14",0.7,0.3,14.3,14.3,43.7333333333333,43.7333333333333,0.690077456921847,0.690077456921847,2.97612466265492,2.97612466265492,19.7666666666667,19.7666666666667,46.9,47.6,0.679220874361634,0.679220874361634,2.77855085027901,2.5791382326251,32.7333333333333,32.7333333333333,35.6333333333333,35.6333333333333,2.9819379643092,2.9819379643092,14.9585250363921,14.9585250363921,6.16666666666667,29.9333333333333,0.477260702109212,2.93098129318428
"15",0.9,0.3,14.3,14.3,43.7333333333333,43.7333333333333,0.690077456921847,0.690077456921847,2.97612466265492,2.97612466265492,19.7666666666667,19.7666666666667,46.9,47.6,0.679220874361634,0.679220874361634,2.77855085027901,2.5791382326251,32.7333333333333,32.7333333333333,35.6333333333333,35.6333333333333,2.9819379643092,2.9819379643092,14.9585250363921,14.9585250363921,4.23333333333333,16.0666666666667,0.337956445991156,1.88395117523022
"16",0.1,0.4,19.5,19.5,58.3,58.3,0.762256179219703,0.762256179219703,2.54890104784869,2.54890104784869,20.2666666666667,20.2666666666667,53.4333333333333,53.7,0.757996957100212,0.757996957100212,2.32808111667608,2.37861642388049,30.3,30.3,45.3666666666667,45.3666666666667,3.36462325605296,3.36462325605296,13.7351382588056,13.7351382588056,13.7,58.2333333333333,0.493986830295856,2.31570516721277
"17",0.3,0.4,19.5,19.5,58.3,58.3,0.762256179219703,0.762256179219703,2.54890104784869,2.54890104784869,20.2666666666667,20.2666666666667,53.4333333333333,53.7,0.757996957100212,0.757996957100212,2.32808111667608,2.37861642388049,30.3,30.3,45.3666666666667,45.3666666666667,3.36462325605296,3.36462325605296,13.7351382588056,13.7351382588056,11.7,53.1666666666667,0.652404923270852,2.99389544935788
"18",0.5,0.4,19.5,19.5,58.3,58.3,0.762256179219703,0.762256179219703,2.54890104784869,2.54890104784869,20.2666666666667,20.2666666666667,53.4333333333333,53.7,0.757996957100212,0.757996957100212,2.32808111667608,2.37861642388049,30.3,30.3,45.3666666666667,45.3666666666667,3.36462325605296,3.36462325605296,13.7351382588056,13.7351382588056,10.9333333333333,52,0.583160894052825,2.86396558124826
"19",0.7,0.4,19.5,19.5,58.3,58.3,0.762256179219703,0.762256179219703,2.54890104784869,2.54890104784869,20.2666666666667,20.2666666666667,53.4333333333333,53.7,0.757996957100212,0.757996957100212,2.32808111667608,2.37861642388049,30.3,30.3,45.3666666666667,45.3666666666667,3.36462325605296,3.36462325605296,13.7351382588056,13.7351382588056,7.26666666666667,35.6666666666667,0.540185862720902,2.81266974796387
"20",0.9,0.4,19.5,19.5,58.3,58.3,0.762256179219703,0.762256179219703,2.54890104784869,2.54890104784869,20.2666666666667,20.2666666666667,53.4333333333333,53.7,0.757996957100212,0.757996957100212,2.32808111667608,2.37861642388049,30.3,30.3,45.3666666666667,45.3666666666667,3.36462325605296,3.36462325605296,13.7351382588056,13.7351382588056,4.83333333333333,23.1666666666667,0.467527940853728,2.47659542602633
