"","oracle_acc","edge_prob","hc_lower_shd_mean","hc_upper_shd_mean","hc_lower_sid_mean","hc_upper_sid_mean","hc_lower_shd_sd","hc_upper_shd_sd","hc_lower_sid_sd","hc_upper_sid_sd","pc_lower_shd_mean","pc_upper_shd_mean","pc_lower_sid_mean","pc_upper_sid_mean","pc_lower_shd_sd","pc_upper_shd_sd","pc_lower_sid_sd","pc_upper_sid_sd","ges_lower_shd_mean","ges_upper_shd_mean","ges_lower_sid_mean","ges_upper_sid_mean","ges_lower_shd_sd","ges_upper_shd_sd","ges_lower_sid_sd","ges_upper_sid_sd","human_shd_mean","human_sid_mean","human_shd_sd","human_sid_sd"
"1",0,0.1,1.3,3.3,1.2,8,0.448454134902457,0.422952584681651,0.533333333333333,1.7256238807393,2.7,3.5,7.1,11.9,0.760847480700888,0.562731433871138,3.64066538484992,3.1,1.4,3.9,1.2,10.3,0.561743318211757,0.378593889720018,0.592546294487706,1.52059929706094,5.6,16.2,0.6,3.45703790999045
"2",0.2,0.1,1.3,3.3,1.2,8,0.448454134902457,0.422952584681651,0.533333333333333,1.7256238807393,2.7,3.5,7.1,11.9,0.760847480700888,0.562731433871138,3.64066538484992,3.1,1.4,3.9,1.2,10.3,0.561743318211757,0.378593889720018,0.592546294487706,1.52059929706094,1.6,3,0.42687494916219,0.954521404218423
"3",0.4,0.1,1.3,3.3,1.2,8,0.448454134902457,0.422952584681651,0.533333333333333,1.7256238807393,2.7,3.5,7.1,11.9,0.760847480700888,0.562731433871138,3.64066538484992,3.1,1.4,3.9,1.2,10.3,0.561743318211757,0.378593889720018,0.592546294487706,1.52059929706094,2.1,5.9,0.481894409826699,2.14709105535839
"4",0.6,0.1,1.3,3.3,1.2,8,0.448454134902457,0.422952584681651,0.533333333333333,1.7256238807393,2.7,3.5,7.1,11.9,0.760847480700888,0.562731433871138,3.64066538484992,3.1,1.4,3.9,1.2,10.3,0.561743318211757,0.378593889720018,0.592546294487706,1.52059929706094,2.7,6.6,0.650640709864771,2.21208800307161
"5",0.8,0.1,1.3,3.3,1.2,8,0.448454134902457,0.422952584681651,0.533333333333333,1.7256238807393,2.7,3.5,7.1,11.9,0.760847480700888,0.562731433871138,3.64066538484992,3.1,1.4,3.9,1.2,10.3,0.561743318211757,0.378593889720018,0.592546294487706,1.52059929706094,1.3,3.2,0.366666666666667,1.28927197372091
"6",0,0.3,8.8,9.2,17,38.5,0.62893207547044,0.62893207547044,3.21455025366432,4.5,8.6,8.6,43.1,56.9,0.452155332208351,0.452155332208351,4.69384940344513,4.69384940344513,10.1,11.1,23.6,41.3,1.01598337694188,0.959745336592531,4.65761025992228,4.59722138301436,11.3,49.2,1.06510302057803,6.07325649420839
"7",0.2,0.3,8.8,9.2,17,38.5,0.62893207547044,0.62893207547044,3.21455025366432,4.5,8.6,8.6,43.1,56.9,0.452155332208351,0.452155332208351,4.69384940344513,4.69384940344513,10.1,11.1,23.6,41.3,1.01598337694188,0.959745336592531,4.65761025992228,4.59722138301436,10.7,45.1,1.39880901722382,4.46330719434716
"8",0.4,0.3,8.8,9.2,17,38.5,0.62893207547044,0.62893207547044,3.21455025366432,4.5,8.6,8.6,43.1,56.9,0.452155332208351,0.452155332208351,4.69384940344513,4.69384940344513,10.1,11.1,23.6,41.3,1.01598337694188,0.959745336592531,4.65761025992228,4.59722138301436,6.9,35.1,0.72188026092359,4.0399394934963
"9",0.6,0.3,8.8,9.2,17,38.5,0.62893207547044,0.62893207547044,3.21455025366432,4.5,8.6,8.6,43.1,56.9,0.452155332208351,0.452155332208351,4.69384940344513,4.69384940344513,10.1,11.1,23.6,41.3,1.01598337694188,0.959745336592531,4.65761025992228,4.59722138301436,5.9,30.8,0.874960316560446,4.76981248175556
"10",0.8,0.3,8.8,9.2,17,38.5,0.62893207547044,0.62893207547044,3.21455025366432,4.5,8.6,8.6,43.1,56.9,0.452155332208351,0.452155332208351,4.69384940344513,4.69384940344513,10.1,11.1,23.6,41.3,1.01598337694188,0.959745336592531,4.65761025992228,4.59722138301436,5.2,25.8,0.82731157639939,4.84148737476408
