"","oracle_acc","edge_prob","hc_lower_shd_mean","hc_upper_shd_mean","hc_lower_sid_mean","hc_upper_sid_mean","hc_lower_shd_sd","hc_upper_shd_sd","hc_lower_sid_sd","hc_upper_sid_sd","pc_lower_shd_mean","pc_upper_shd_mean","pc_lower_sid_mean","pc_upper_sid_mean","pc_lower_shd_sd","pc_upper_shd_sd","pc_lower_sid_sd","pc_upper_sid_sd","human_shd_mean","human_sid_mean","human_shd_sd","human_sid_sd"
"1",0.1,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,13.97,9.3,0.303666151082289,0.710597984059549
"2",0.2,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,11.37,7.37,0.318980383171889,0.734249427798362
"3",0.3,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,9.88,7.06,0.342091015120629,0.68546526262286
"4",0.4,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,8.93,6.49,0.272383790437187,0.688358463111607
"5",0.5,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,7.06,4.65,0.247337335587973,0.516471126242721
"6",0.6,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,5.77,4.56,0.255783604879696,0.465435605675267
"7",0.7,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,4.07,3.08,0.208047682957149,0.416012820315272
"8",0.8,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,2.88,2.81,0.151943636546151,0.309020936821341
"9",0.9,0.1,5.23,5.39,8.06,8.67,0.249789810630757,0.247775965930776,0.697299263319748,0.722097813682643,12.5773195876289,12.6082474226804,7.71,7.79,0.317324460885792,0.314851701383415,0.692455738293033,0.699785748440701,1.94,2.17,0.130902076130799,0.374989562144297
"10",0.1,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,14.75,24.56,0.383069738092719,1.48482696335671
"11",0.2,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,13.12,21.8,0.340907878785724,1.39146024598679
"12",0.3,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,11.49,20.74,0.30566866593312,1.36060147127525
"13",0.4,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,9.55,19.7,0.280826701657154,1.25822546196273
"14",0.5,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,8.03,17.26,0.281573859553472,1.26008016419671
"15",0.6,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,6.86,13.94,0.243717007609194,1.12616449271253
"16",0.7,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,5.22,12.34,0.203296072095092,0.989665794012496
"17",0.8,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,3.93,10.29,0.178803543227496,0.849277173349029
"18",0.9,0.2,9.83,10.2,25.45,28.42,0.305192438049216,0.303514764255731,1.33449759774375,1.4631624805347,17.7708333333333,17.84375,23.02,23.31,0.393889502346127,0.394959504086712,1.51458815284132,1.5152629062589,2.72,6.52,0.152474538361278,0.654661605855894
"19",0.1,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,15.73,44.46,0.299782749619949,1.67425062386584
"20",0.2,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,13.98,41.24,0.328442913570604,1.54260176391063
"21",0.3,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,12.39,39.47,0.292289810519172,1.57784247270977
"22",0.4,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,11.05,33.84,0.305629008618441,1.55373255371858
"23",0.5,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,9.46,30.92,0.33527314358308,1.64738421367778
"24",0.6,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,8.14,26.88,0.266674242316635,1.35343035926262
"25",0.7,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,5.87,20.72,0.233832798763941,1.29334582936794
"26",0.8,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,4.78,17.73,0.231630147546742,1.22060218620552
"27",0.9,0.3,14.96,15.56,42.54,49.39,0.363184567820592,0.359101009958946,1.48857059766825,1.73006072176964,21.453488372093,21.5348837209302,38.69,39.34,0.387088814272911,0.384621502585761,1.71732012029899,1.74112872756378,3.21,13.54,0.182737323207191,0.921726531016547
"28",0.1,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,18.12,57.41,0.355698203708161,1.45616730917956
"29",0.2,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,16.28,56.42,0.371478074179297,1.39965219344888
"30",0.3,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,14.29,50.03,0.351129490632614,1.54693930460158
"31",0.4,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,13.32,48.64,0.320630691612703,1.4149647531035
"32",0.5,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,10.92,43.05,0.293938769133981,1.5135332266861
"33",0.6,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,8.88,36.07,0.286137637291475,1.64600864045255
"34",0.7,0.4,19.08,19.78,57.92,67.29,0.325880315143428,0.311911668407722,1.18455378804328,1.29507965512987,25.037037037037,25.0987654320988,51.75,52.01,0.386678018848539,0.385943184214793,1.5032388029238,1.50457547170079,7.39,29.99,0.257766239727848,1.47487338953265
